query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	COG_ID
LOZ74_RS00005	383381.EH30_14625	9.87e-47	155.0	COG5321@1|root,COG5321@2|Bacteria,1RDXW@1224|Proteobacteria,2U73Y@28211|Alphaproteobacteria,2K5GG@204457|Sphingomonadales	204457|Sphingomonadales	S	DNA repair protein MmcB-like	-	-	-	-	-	-	-	-	-	-	-	-	MmcB-like	COG5321
D0Y85_RS00005	1429851.X548_19120	2.6199999999999998e-300	821.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,1RNHP@1236|Gammaproteobacteria,1X424@135614|Xanthomonadales	135614|Xanthomonadales	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N	COG0593
PP2015_RS04105	1268239.PALB_24770	0.0	1259.0	COG4772@1|root,COG4772@2|Bacteria,1NTC4@1224|Proteobacteria,1RPFQ@1236|Gammaproteobacteria,2Q5IS@267888|Pseudoalteromonadaceae	1236|Gammaproteobacteria	M	PFAM TonB-dependent receptor TonB-dependent receptor, plug	-	-	-	-	-	-	-	-	-	-	-	-	Plug,TonB_dep_Rec	COG4772
JWU58_RS13845	1395516.PMO01_13040	4.9200000000000004e-194	543.0	2DPA8@1|root,3317I@2|Bacteria,1N7VA@1224|Proteobacteria,1T1EU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JTY93_RS00005	1042209.HK44_012860	1.29e-267	744.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,1RNHP@1236|Gammaproteobacteria,1YND8@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	F	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010556,GO:0016020,GO:0017076,GO:0019219,GO:0019222,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1990837,GO:2000112	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N	COG0593
H9L19_RS00005	911104.AEKT01000035_gene1990	8.12e-64	211.0	COG1597@1|root,COG1597@2|Bacteria,1V7DZ@1239|Firmicutes,4HBUD@91061|Bacilli,4AXH9@81850|Leuconostocaceae	91061|Bacilli	I	COG1597 Sphingosine kinase and enzymes related to eukaryotic diacylglycerol kinase	ytlR	-	-	-	-	-	-	-	-	-	-	-	DAGK_acc,DAGK_cat	COG1597
H9L19_RS05210	585506.HMPREF0877_0260	1.12e-206	586.0	COG0737@1|root,COG0737@2|Bacteria,1TQCW@1239|Firmicutes,4HAUC@91061|Bacilli,4AX0P@81850|Leuconostocaceae	91061|Bacilli	F	Belongs to the 5'-nucleotidase family	yunD	-	3.1.3.5	ko:K01081	ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110	-	R00183,R00511,R00963,R01126,R01227,R01569,R01664,R01968,R02088,R02102,R02323,R02719,R03346	RC00017	ko00000,ko00001,ko01000	-	-	-	5_nucleotid_C,Metallophos	COG0737
SELIN_RS07785	653733.Selin_1506	1.12e-103	299.0	COG3807@1|root,COG3807@2|Bacteria	2|Bacteria	S	protein conserved in bacteria	yrvJ	-	3.2.1.96,3.4.17.14,3.5.1.28	ko:K01227,ko:K01447,ko:K01448,ko:K06385,ko:K07260,ko:K11060,ko:K11062	ko00511,ko00550,ko01100,ko01502,ko01503,ko02020,map00511,map00550,map01100,map01502,map01503,map02020	M00651,M00727	R04112	RC00064,RC00141	ko00000,ko00001,ko00002,ko01000,ko01002,ko01011,ko01504,ko02042,ko03036	-	-	-	Amidase_3,Glucosaminidase,NLPC_P60,SH3_3,SH3_4	COG3807
NCU08076	5141.EFNCRP00000008523	0.0	1103.0	28MP5@1|root,2QU74@2759|Eukaryota,39R3G@33154|Opisthokonta,3NVJ2@4751|Fungi,3QNJ0@4890|Ascomycota,212Q0@147550|Sordariomycetes,3U58R@5139|Sordariales,3UG9C@5148|Sordariaceae	4751|Fungi	S	tpr domain protein	-	-	-	-	-	-	-	-	-	-	-	-	TPR_2,TPR_8	-
NCU02142	40127.XP_009855240.1	2.91e-255	699.0	2CZ5Y@1|root,2S8N8@2759|Eukaryota,3A03I@33154|Opisthokonta,3P7SJ@4751|Fungi,3QJJQ@4890|Ascomycota,2123U@147550|Sordariomycetes,3U5CU@5139|Sordariales,3UJU7@5148|Sordariaceae	4751|Fungi	S	Fungal Zn(2)-Cys(6) binuclear cluster domain	FCR1	-	-	-	-	-	-	-	-	-	-	-	Zn_clus	-
NCU01961	40127.XP_009855439.1	0.0	1221.0	COG0708@1|root,KOG1294@2759|Eukaryota,38G0C@33154|Opisthokonta,3NUNY@4751|Fungi,3QR3G@4890|Ascomycota,2119Y@147550|Sordariomycetes,3U6JI@5139|Sordariales,3UK1B@5148|Sordariaceae	4751|Fungi	L	GRF zinc finger	APN2	GO:0000302,GO:0003674,GO:0003824,GO:0003906,GO:0004518,GO:0004527,GO:0004528,GO:0004529,GO:0004536,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006979,GO:0008081,GO:0008150,GO:0008152,GO:0008296,GO:0008309,GO:0008311,GO:0008408,GO:0009987,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0033554,GO:0034599,GO:0034614,GO:0034641,GO:0042221,GO:0042578,GO:0043085,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050790,GO:0050896,GO:0051336,GO:0051345,GO:0051716,GO:0065007,GO:0065009,GO:0070887,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901700,GO:1901701,GO:1902544,GO:1902546	4.2.99.18	ko:K10772	ko03410,map03410	M00296	-	-	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	-	Exo_endo_phos,zf-GRF	COG0708
NCU02574	5141.EFNCRP00000002027	4.85e-75	224.0	29CYI@1|root,2RK2D@2759|Eukaryota,38PRC@33154|Opisthokonta,3PRK1@4751|Fungi,3RB26@4890|Ascomycota,21TI5@147550|Sordariomycetes,3UDW9@5139|Sordariales,3UNWM@5148|Sordariaceae	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NCU02615	5141.EFNCRP00000002014	3.3e-246	682.0	KOG2652@1|root,KOG2652@2759|Eukaryota,39HJM@33154|Opisthokonta,3P5JD@4751|Fungi,3QMTV@4890|Ascomycota,21302@147550|Sordariomycetes,3U6J0@5139|Sordariales,3UI80@5148|Sordariaceae	4751|Fungi	K	Transcription factor IIA, alpha/beta subunit	TOA1	GO:0000428,GO:0000988,GO:0000990,GO:0000991,GO:0003674,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005672,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006357,GO:0006366,GO:0006367,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016043,GO:0016070,GO:0016591,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022607,GO:0030880,GO:0031323,GO:0031326,GO:0031974,GO:0031981,GO:0032774,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044798,GO:0046483,GO:0050789,GO:0050794,GO:0051123,GO:0051171,GO:0051252,GO:0055029,GO:0060255,GO:0061695,GO:0065003,GO:0065004,GO:0065007,GO:0070013,GO:0070897,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0090304,GO:0090575,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1903506,GO:1990234,GO:2000112,GO:2001141	-	ko:K03122	ko03022,ko05203,map03022,map05203	-	-	-	ko00000,ko00001,ko03021	-	-	-	TFIIA	-
NCU02742	5141.EFNCRP00000002173	0.0	2463.0	28IJV@1|root,2QQWQ@2759|Eukaryota,39J8U@33154|Opisthokonta,3NY82@4751|Fungi,3QNPP@4890|Ascomycota,211M3@147550|Sordariomycetes,3U59M@5139|Sordariales,3UJT4@5148|Sordariaceae	4751|Fungi	U	Nucleoporin Nup120/160	-	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005643,GO:0006403,GO:0006405,GO:0006406,GO:0006611,GO:0006810,GO:0006886,GO:0006913,GO:0008104,GO:0008150,GO:0008152,GO:0010467,GO:0012505,GO:0015031,GO:0015833,GO:0015931,GO:0016973,GO:0031080,GO:0031503,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032991,GO:0033036,GO:0034399,GO:0034613,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0050657,GO:0050658,GO:0051028,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051641,GO:0051649,GO:0070013,GO:0070727,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705	-	ko:K14303	ko03013,map03013	M00427	-	-	ko00000,ko00001,ko00002,ko03019,ko03036	1.I.1	-	-	Nup160	-
NCU09377	5141.EFNCRP00000009459	0.0	959.0	COG5170@1|root,KOG1354@2759|Eukaryota,38CMI@33154|Opisthokonta,3NWEP@4751|Fungi,3QK1B@4890|Ascomycota,212TY@147550|Sordariomycetes,3U5CS@5139|Sordariales,3UHCB@5148|Sordariaceae	4751|Fungi	T	Protein phosphatase PP2A regulatory subunit B	CDC55	GO:0000003,GO:0000075,GO:0000159,GO:0000278,GO:0000280,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0000910,GO:0001100,GO:0003674,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0005774,GO:0005819,GO:0005829,GO:0005856,GO:0005933,GO:0005934,GO:0005935,GO:0005937,GO:0006355,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007049,GO:0007059,GO:0007088,GO:0007093,GO:0007096,GO:0007127,GO:0007346,GO:0008104,GO:0008150,GO:0008152,GO:0008287,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0010389,GO:0010468,GO:0010556,GO:0010557,GO:0010562,GO:0010564,GO:0010604,GO:0010628,GO:0010639,GO:0010646,GO:0010648,GO:0010921,GO:0010948,GO:0010965,GO:0010971,GO:0010972,GO:0010974,GO:0015630,GO:0016020,GO:0016043,GO:0016311,GO:0019208,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019888,GO:0022402,GO:0022414,GO:0023051,GO:0023057,GO:0030071,GO:0030234,GO:0030427,GO:0031029,GO:0031030,GO:0031090,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031399,GO:0031401,GO:0031991,GO:0032268,GO:0032270,GO:0032465,GO:0032466,GO:0032502,GO:0032506,GO:0032879,GO:0032880,GO:0032954,GO:0032955,GO:0032956,GO:0032970,GO:0032991,GO:0033036,GO:0033043,GO:0033044,GO:0033045,GO:0033047,GO:0034260,GO:0034613,GO:0035303,GO:0035304,GO:0035306,GO:0035307,GO:0036211,GO:0042995,GO:0043086,GO:0043087,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043332,GO:0043412,GO:0043666,GO:0044087,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044430,GO:0044437,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044818,GO:0045132,GO:0045143,GO:0045786,GO:0045787,GO:0045839,GO:0045893,GO:0045930,GO:0045931,GO:0045935,GO:0045937,GO:0046578,GO:0046580,GO:0048285,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050790,GO:0050794,GO:0051056,GO:0051058,GO:0051128,GO:0051129,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051246,GO:0051247,GO:0051252,GO:0051254,GO:0051286,GO:0051301,GO:0051302,GO:0051321,GO:0051336,GO:0051346,GO:0051493,GO:0051641,GO:0051726,GO:0051782,GO:0051783,GO:0051784,GO:0051983,GO:0060255,GO:0060341,GO:0061586,GO:0061982,GO:0065007,GO:0065009,GO:0070262,GO:0070727,GO:0071704,GO:0071840,GO:0072686,GO:0080090,GO:0090068,GO:0090231,GO:0090266,GO:0098588,GO:0098772,GO:0098805,GO:0098813,GO:0098852,GO:0110020,GO:0120025,GO:0120038,GO:0140013,GO:1900180,GO:1900182,GO:1901564,GO:1901891,GO:1901892,GO:1901976,GO:1901987,GO:1901988,GO:1901989,GO:1901990,GO:1901991,GO:1901992,GO:1902099,GO:1902412,GO:1902413,GO:1902494,GO:1902531,GO:1902532,GO:1902680,GO:1902749,GO:1902750,GO:1902751,GO:1903046,GO:1903047,GO:1903293,GO:1903436,GO:1903437,GO:1903504,GO:1903506,GO:1903508,GO:1903827,GO:1903829,GO:1905818,GO:2000112,GO:2001141	-	ko:K04354	ko03015,ko04071,ko04111,ko04151,ko04152,ko04261,ko04390,ko04391,ko04530,ko04728,ko05142,ko05160,ko05165,map03015,map04071,map04111,map04151,map04152,map04261,map04390,map04391,map04530,map04728,map05142,map05160,map05165	-	-	-	ko00000,ko00001,ko01009,ko03036	-	-	-	WD40	COG5170
NCU09312	5141.EFNCRP00000009118	4.0399999999999995e-241	662.0	COG0020@1|root,KOG2818@2759|Eukaryota,39XNK@33154|Opisthokonta,3NXS5@4751|Fungi,3QQ6F@4890|Ascomycota,211A6@147550|Sordariomycetes,3U7YA@5139|Sordariales,3UJV3@5148|Sordariaceae	4751|Fungi	I	to Saccharomyces cerevisiae NUS1 (YDL193W)	-	GO:0003674,GO:0003824,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005783,GO:0005811,GO:0006066,GO:0006464,GO:0006486,GO:0006629,GO:0006720,GO:0006807,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0012505,GO:0016093,GO:0016094,GO:0016740,GO:0016765,GO:0019348,GO:0019408,GO:0019538,GO:0031967,GO:0031975,GO:0032991,GO:0034645,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046165,GO:0070085,GO:0071704,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617,GO:1902494,GO:1904423,GO:1990234	2.5.1.87	ko:K19177	ko00900,ko01110,map00900,map01110	-	R05556	RC00279,RC02839	ko00000,ko00001,ko01000	-	-	-	Prenyltransf	COG0020
NCU00994	5141.EFNCRP00000000849	9.339999999999999e-288	788.0	KOG1339@1|root,KOG1339@2759|Eukaryota,38G7F@33154|Opisthokonta,3NV31@4751|Fungi,3QKNI@4890|Ascomycota,217NV@147550|Sordariomycetes,3U7KK@5139|Sordariales,3UJS4@5148|Sordariaceae	4751|Fungi	O	Belongs to the peptidase A1 family	-	-	-	-	-	-	-	-	-	-	-	-	Asp	-
NCU08606	5141.EFNCRP00000008654	0.0	1338.0	28NNH@1|root,2QW3C@2759|Eukaryota,39JDG@33154|Opisthokonta,3Q3Q6@4751|Fungi,3RKSK@4890|Ascomycota,21RHE@147550|Sordariomycetes,3UF14@5139|Sordariales,3UKVM@5148|Sordariaceae	4751|Fungi	S	Sel1-like repeats.	-	GO:0000271,GO:0003674,GO:0005575,GO:0005623,GO:0005933,GO:0005934,GO:0005975,GO:0005976,GO:0008047,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009272,GO:0009987,GO:0010383,GO:0016051,GO:0030234,GO:0030427,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043085,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0050790,GO:0051278,GO:0065007,GO:0065009,GO:0070589,GO:0070592,GO:0071554,GO:0071704,GO:0071840,GO:0071852,GO:0071966,GO:0098772,GO:1901576	-	-	-	-	-	-	-	-	-	-	Sel1	-
NCU08615	5141.EFNCRP00000008630	0.0	1394.0	28UM2@1|root,2R1BY@2759|Eukaryota,38KCV@33154|Opisthokonta,3NZ92@4751|Fungi,3QNCN@4890|Ascomycota,21701@147550|Sordariomycetes,3U84A@5139|Sordariales,3UG1F@5148|Sordariaceae	4751|Fungi	S	Common central domain of tyrosinase	-	-	1.14.18.1	ko:K00505	ko00350,ko00950,ko00965,ko01100,ko01110,ko04916,map00350,map00950,map00965,map01100,map01110,map04916	M00042	R00731,R02078,R02363,R02383,R04693,R04884	RC00046,RC00150,RC00180	ko00000,ko00001,ko00002,ko01000	-	-	-	Tyrosinase	-
JY500_RS05780	1348657.M622_11970	1.5900000000000002e-209	588.0	COG0019@1|root,COG0019@2|Bacteria,1MUA6@1224|Proteobacteria,2VK3J@28216|Betaproteobacteria,2KVS1@206389|Rhodocyclales	206389|Rhodocyclales	E	Diaminopimelate decarboxylase	-	-	4.1.1.20	ko:K01586	ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00300,map01100,map01110,map01120,map01130,map01230	M00016,M00525,M00526,M00527	R00451	RC00299	ko00000,ko00001,ko00002,ko01000	-	-	-	Orn_Arg_deC_N,Orn_DAP_Arg_deC	COG0019
MUK71_RS03220	1312954.KI914859_gene1514	0.0	1297.0	COG0553@1|root,COG4715@1|root,COG0553@2|Bacteria,COG4715@2|Bacteria,2GISC@201174|Actinobacteria,1W7XC@1268|Micrococcaceae	201174|Actinobacteria	L	helicase	helZ	-	-	-	-	-	-	-	-	-	-	-	Helicase_C,SNF2_N,SNF2_assoc,SWIM	COG0553
EJP617_RS00005	634499.EpC_10910	9.4e-68	206.0	COG1393@1|root,COG1393@2|Bacteria,1MZ4Z@1224|Proteobacteria,1S8XH@1236|Gammaproteobacteria,3X6UH@551|Erwinia	1236|Gammaproteobacteria	C	Arsenate reductase	arsC	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	1.20.4.1	ko:K00537	-	-	-	-	ko00000,ko01000	-	-	-	ArsC	COG1393
H0I88_RS05655	635013.TherJR_1832	1.49e-158	461.0	COG0044@1|root,COG0044@2|Bacteria,1TPQM@1239|Firmicutes,247V2@186801|Clostridia,260IR@186807|Peptococcaceae	186801|Clostridia	F	Belongs to the metallo-dependent hydrolases superfamily. DHOase family. Class I DHOase subfamily	pyrC	-	3.5.2.3	ko:K01465	ko00240,ko01100,map00240,map01100	M00051	R01993	RC00632	ko00000,ko00001,ko00002,ko01000	-	-	-	Amidohydro_1	COG0044
NB640_RS10605	204773.HEAR2416	2.42e-186	524.0	COG0042@1|root,COG0042@2|Bacteria,1MUY1@1224|Proteobacteria,2VHCA@28216|Betaproteobacteria,472PZ@75682|Oxalobacteraceae	28216|Betaproteobacteria	J	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. Specifically modifies U20 and U20a in tRNAs	dusA	-	-	ko:K05539	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Dus	COG0042
CBW65_RS00005	1236976.JCM16418_2790	1.42e-07	60.8	2DZ9Y@1|root,32V70@2|Bacteria,1VA6H@1239|Firmicutes,4HKSG@91061|Bacilli,26UVN@186822|Paenibacillaceae	91061|Bacilli	S	Sporulation lipoprotein YhcN/YlaJ (Spore_YhcN_YlaJ)	yhcN	-	-	-	-	-	-	-	-	-	-	-	Spore_YhcN_YlaJ	-
CBW65_RS18895	1157490.EL26_03900	7.94e-121	362.0	COG1404@1|root,COG1404@2|Bacteria,1TQ2M@1239|Firmicutes,4HB7D@91061|Bacilli,277ZN@186823|Alicyclobacillaceae	91061|Bacilli	O	Belongs to the peptidase S8 family	-	-	3.4.21.66	ko:K08651	-	-	-	-	ko00000,ko01000,ko01002,ko03110	-	-	-	Peptidase_S8	COG1404
BPSOL_RS02550	552531.BIF_01170	0.0	972.0	COG2272@1|root,COG2272@2|Bacteria,2GJCN@201174|Actinobacteria,4D02Y@85004|Bifidobacteriales	201174|Actinobacteria	I	Belongs to the type-B carboxylesterase lipase family	-	-	-	ko:K03929	-	-	-	-	ko00000,ko01000	-	CE10	-	COesterase	COG2272
GURA_RS20880	316067.Geob_0628	1.05e-160	453.0	COG4786@1|root,COG4786@2|Bacteria,1MVMA@1224|Proteobacteria,42N3R@68525|delta/epsilon subdivisions,2WJDN@28221|Deltaproteobacteria,43TGB@69541|Desulfuromonadales	28221|Deltaproteobacteria	N	Flagellar basal body rod FlgEFG protein C-terminal	flgG	-	-	ko:K02392	ko02040,map02040	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flg_bb_rod,Flg_bbr_C	COG4786
PGN_RS01785	431947.PGN_0376	1.8299999999999998e-191	531.0	COG2877@1|root,COG2877@2|Bacteria,4NENN@976|Bacteroidetes,2FN47@200643|Bacteroidia,22WRG@171551|Porphyromonadaceae	976|Bacteroidetes	M	Belongs to the KdsA family	kdsA	-	2.5.1.55	ko:K01627	ko00540,ko01100,map00540,map01100	M00063	R03254	RC00435	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	DAHP_synth_1	COG2877
BLR32_RS09025	1454007.JAUG01000043_gene15	2.7200000000000003e-215	644.0	2C4IS@1|root,2Z81U@2|Bacteria,4NMNH@976|Bacteroidetes,1J0CD@117747|Sphingobacteriia	976|Bacteroidetes	S	Lantibiotic biosynthesis dehydratase C-term	-	-	-	ko:K20483	ko02020,ko02024,map02020,map02024	-	-	-	ko00000,ko00001	-	-	-	Lant_dehydr_C,Lant_dehydr_N	-
LN341_RS00005	754436.JCM19237_6783	2.8799999999999997e-300	822.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,1RNHP@1236|Gammaproteobacteria,1XT0F@135623|Vibrionales	135623|Vibrionales	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010556,GO:0016020,GO:0017076,GO:0019219,GO:0019222,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1990837,GO:2000112	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N	COG0593
FED51_RS15540	1134413.ANNK01000053_gene1204	0.0	997.0	COG0028@1|root,COG0028@2|Bacteria,1TQE8@1239|Firmicutes,4H9VR@91061|Bacilli,1ZB1D@1386|Bacillus	91061|Bacilli	E	Acetolactate synthase	ilvB	-	2.2.1.6	ko:K01652,ko:K16787	ko00290,ko00650,ko00660,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,ko02010,map00290,map00650,map00660,map00770,map01100,map01110,map01130,map01210,map01230,map02010	M00019,M00570,M00582	R00006,R00014,R00226,R03050,R04672,R04673,R08648	RC00027,RC00106,RC01192,RC02744,RC02893	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.25,3.A.1.28,3.A.1.29,3.A.1.30,3.A.1.31,3.A.1.32,3.A.1.33,3.A.1.35	-	iYO844.BSU28310	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N	COG0028
NUH86_RS00320	452662.SJA_C1-26870	0.0	976.0	COG4962@1|root,COG4962@2|Bacteria,1R7EN@1224|Proteobacteria,2TRNT@28211|Alphaproteobacteria,2K008@204457|Sphingomonadales	204457|Sphingomonadales	U	Flp pilus assembly protein, ATPase CpaF	-	-	-	ko:K02283	-	-	-	-	ko00000,ko02035,ko02044	-	-	-	T2SSE	COG4962
DESACI_RS21100	646529.Desaci_4425	0.0	2209.0	COG2247@1|root,COG2247@2|Bacteria,1UIEY@1239|Firmicutes,24ZJS@186801|Clostridia,263KA@186807|Peptococcaceae	186801|Clostridia	M	cell wall binding repeat 2	-	-	-	-	-	-	-	-	-	-	-	-	CW_binding_2	COG2247
